,t2_5km,usodosolo,elevacao,slope,ndvi,evi,t2_1km,aspect_LE,aspec_NS
1480,307.701,14.0,14,0.56660676,7119,4652,307.938,-0.41927937,-0.90785724
1481,307.701,14.0,13,0.6453451,7897,4588,307.75,0.26159823,-0.9651769
1482,307.701,12.0,14,0.53963834,7897,4866,307.582,0.984382,-0.17604594
1483,307.701,14.0,18,0.4946365,8097,4518,307.714,-0.9992894,-0.037692223
1484,307.701,14.0,24,0.24864583,7645,4489,307.571,0.42314968,-0.9060598
1485,307.578,14.0,21,0.5766785,7629,4093,307.518,-0.13006534,0.99150544
1486,307.578,13.0,14,0.3734363,8141,4802,308.586,0.62523437,-0.78043705
1487,307.578,8.0,14,0.1496841,8427,4288,308.269,-0.9960923,0.08831809
1488,307.578,7.0,16,0.39072555,7982,4643,308.319,-0.20465827,-0.9788335
1489,307.578,14.0,13,0.42624855,8290,4844,307.337,-0.9989824,0.045100477
1490,307.455,14.0,18,0.47541404,8202,5090,307.158,-0.9338108,0.35776728
1491,307.455,9.0,17,0.9493215,8202,5110,307.932,0.9669476,-0.2549752
1492,307.455,14.0,18,0.94018716,8144,4843,307.232,-0.50381535,0.8638114
1493,307.455,14.0,25,0.14305447,6750,4543,307.524,-0.80228776,-0.5969375
1494,307.455,9.0,23,0.33805805,7677,4469,307.939,-0.09263682,-0.99569994
1495,307.284,5.0,30,0.44525912,6740,3846,308.038,0.76314944,-0.64622205
1496,307.284,13.0,30,0.63221204,4753,2794,308.568,0.5900923,-0.8073358
1497,307.284,13.0,39,1.8798177,5404,2513,308.608,0.40509853,0.914273
1498,307.284,13.0,55,5.6398067,6154,3283,308.611,0.06550766,0.9978521
1499,307.284,12.0,101,17.438614,8013,4392,308.007,0.9639377,0.266128
1500,307.473,14.0,318,30.027603,8073,3865,307.676,-0.9965072,0.083506495
1501,307.473,10.0,541,30.110365,7437,3954,307.406,-0.23675348,-0.9715698
1502,307.473,9.0,464,24.797846,8123,3425,307.056,0.30852532,0.95121616
1503,307.473,2.0,396,14.287991,8766,4271,306.889,-0.0862519,0.99627334
1504,307.473,4.0,336,9.710868,8793,4637,306.736,-0.14764315,-0.9890407
1505,308.116,4.0,336,11.159403,7734,4573,306.91,0.9853841,-0.17034703
1506,308.116,13.0,135,14.898978,7720,4558,307.775,0.99698156,0.077638716
